seller_id,seller_name
809720171,佐讯数码专营店
391977353,佐华运动户外官方旗舰店
427533589,纵点百货
888339201,梓馨小铺店
1093712,子幕服饰
52888,子衿
863282094,子航图文
744628979,子涵食品店
826953489,子丹保罗内衣专营店
897067152,子博家居饰品专营店
345098022,资菲凡家居生活旗舰店
218441,姿色衣衣旗舰店
884830413,啄木鸟慕妞专卖店
181898728,啄木鸟艾佳尼克专卖店
238290346,卓一水果生鲜
246438008,卓斯尼斯旗舰店
873846596,卓美科技生活馆
880681877,卓柏梵运动户外官方旗舰店
237641533,众赞车品
278657,智浦电器专营店
417956210,智码印务
644018603,指南针旗舰店
895505347,纸博士家居馆
873543924,止观电工专营店
746881542,织雅家纺
375065979,知书达理图书专营店
713972229,郑多钱
875312792,正源世家家具旗舰店
151401112,正泰开关旗舰店
928921708,甄拾汇
206901589,珍卉名妆
617451466,浙饮食品专营店
967810098,浙江扭蛋玩具商铺
692615382,喆喆心选家居生活官方旗舰店
474146545,照亮未来
104184,赵小须的网店
344773994,昭鑫鞋业
722877288,长远无纺布制品
140639704,长城知旺专卖店
860079953,泽善翡翠
981714130,芸之弈网络游戏官方旗舰店
6226698,云舟家电生活馆
341569152,云盛图文快印
852935919,云良生活用品店
614158385,粤海生活
1269513,悦雅诗多唯亚专卖店
539383635,悦小七旗舰店
689876475,悦柠YUENING
659827289,悦澜母婴用品官方旗舰店
923150014,悦耳小镇
461802,月半弯旗舰店
569720506,源态世家秋水一色专卖店
238530490,原音荟个人护理专营店
572554367,原野箱包
889224567,原木家具正店
261017170,原虎数码专营店
823823558,豫商四季鞋垫
578527844,豫见农产店
836493529,誉友尚家纺店
732921384,誉衡电器专营店
215686086,煜邦隐形眼镜专营店
838721513,裕汇康药房
997337384,御品一园水果生鲜专卖店
1290992,御美源商贸
430065991,玉之源饰品
882274468,玉儿优品童鞋店
814248614,羽超食品官方旗舰店
275918874,宇顺保健馆
892217906,宇诺精品百货
518023757,宇丹龙服饰官方旗舰店
417506329,渔夫加冕
593360768,渔村码头
379922164,俞兆林玮宁专卖店
999504801,诱姿ALLURE POSTURE娜菲尔专卖店
132928349,尤尼吉可钓具专营店
714136509,悠闲家居百货
282365572,优之印图文快印
788187498,优优快印
891971653,优菲格家居生活旗舰店
497339905,勇力旗舰店
334285374,永富美发用品
146523845,婴悦母婴专营店
772514673,婴趣思
995331495,婴辰氏母婴旗舰店
687168707,印佳数码印刷店
1408936,奕勤轩运动旗舰店
775885383,易路先锋汽车配件官方旗舰店
350704610,易固仕五金旗舰店
722749317,亦安珠帘
243901316,忆瞳年隐形眼镜旗舰店
768604,忆童乐节庆用品
338875265,义乌对联厂店
548781151,亿双双居家日用旗舰店
757061494,宜珈生活馆
876900385,宜加宜童鞋专营店
871066995,宜关茶叶旗舰店
926699369,宜代日用百货
1151167,宜齿洁旗舰店
102018247,宜宾方水淘土特产店
958835919,怡品潮装店
747719535,怡宁爱内衣官方旗舰店
904763175,壹团火柔盛专卖店
481524,壹品心商贸
495577739,壹品烘焙居家生活管
751706241,依柔纸品专营店
242617231,医禾日化
304477945,医达人
317760640,伊卓恩情趣用品专营店
5778212,伊台秀箱包旗舰店
473422476,伊倾果官方旗舰店
751314221,伊步官方旗舰店
151400,一味食品店
548,一品优旗舰店
