product_id,product_name,price,seller_id
411976901367,必联S2-se移动随身wifi户外便携无线路由器车载4g网络笔记本上网,84.0,809720171
275172700854,新国标电动车E80E100/E125/E200脚踏脚踢贴纸防水贴膜装饰改装,21.27,391977353
251343418656,新国标电动车自行车挂包防水置物电摩电动车通用适用挂包前置,23.75,391977353
251005034559,新国标电动车配件A系列座垫套A30c/a40c隔热坐垫套电瓶车防晒垫,8.61,391977353
251005109937,电动车座垫套通用BA30c406080电瓶车隔热坐垫套防水配件,7.9,391977353
251005379293,适九9号电动车N70C/E100/E125/N80透气坐垫座垫舒适防晒网格座套,14.8,391977353
251343231273,小米电瓶车c/b/e系列后轮保护条挡泥板改装电摩配件小牛通用,8.55,391977353
265404537962,新国标电动车新C40lite/c65lite/c90坐垫套座椅套防晒隔热改装,8.0,391977353
426808738043,【工厂店】凡士林身体乳护手霜防冻防干裂补水滋润保湿润肤霜男女,21.0,427533589
356708300005,松紧带双层宽扁高弹力耐用床笠橡皮筋裤腰婴儿袖口收紧捆绑绳批发,21.0,888339201
359351473348,48色油性彩铅彩色铅笔儿童学生绘画笔24色36色美术素描画画笔套装,21.88,888339201
409652438197,双层加厚松紧带宽扁高弹家用袖口裤腰裤子弹力带裤头橡皮筋收缩带,23.8,888339201
331688069571,加厚衣服被子搬家打包袋外出手提收纳袋防潮防水大容量行李旅行袋,9.9,888339201
392141926838,松紧带双层宽扁高弹力耐用床笠橡皮筋裤腰婴儿袖口收紧捆绑绳批发,23.9,888339201
366966773227,双层松紧带宽扁高弹力耐用床笠橡皮筋裤腰婴儿袖口收紧捆绑绳批发,21.0,888339201
340560359188,超大搬家收纳编织袋棉被打包袋特大容量无纺帆布行李袋加厚被子袋,6.99,888339201
332848028192,【6元抢100000件，抢完恢复8.55元】双层宽扁松紧带高弹力耐用进口橡皮筋裤腰婴儿袖口收紧捆绑绳批发,6.0,888339201
357520345911,高弹力松紧带双层宽扁耐用床笠橡皮筋裤腰婴儿袖口收紧捆绑绳辅料,21.35,888339201
341004174401,【21元抢100000件，抢完恢复25元】松紧带宽扁高弹加厚家用袖口裤腰裤子裙子弹力带裤头橡皮筋收缩带,21.0,888339201
76859029184,垂感弹力高腰喇叭裤女春秋韩版黑色裤子女高个子加长版女裤工作裤,68.0,1093712
920858747,秋冬季弹力微喇叭裤女垂感高腰阔腿西装加绒直筒长裤黑色休闲裤子,49.0,1093712
285983110740,秋冬季直筒裤女垂感高腰显瘦阔腿弹力黑色加绒西装长裤工装休闲裤,59.0,1093712
97075560767,秋冬季微喇叭裤子女垂感西装高腰直筒裤宽松加绒阔腿裤黑色休闲裤,59.0,1093712
2848799491,西装裤女高腰弹力黑色显瘦微喇叭裤阔腿直筒秋季加绒职业工装长裤,59.0,1093712
159987167644,微喇叭裤子女秋冬季高腰弹力职业直筒休闲裤垂感阔腿加绒西装长裤,49.0,1093712
8675119179,夏季薄款冰丝棉麻休闲九分裤女宽松七分萝卜裤哈伦裤潮大码小脚裤,30.8,1093712
1552077498,黑色弹力微喇叭裤女矮个子秋冬季加绒阔腿女九分裤蕾丝开叉休闲裤,49.0,1093712
154520293748,直筒裤女秋冬款高腰弹力垂感休闲长裤加绒显瘦黑色九分裤西装长裤,49.0,1093712
